age,job,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,subscribed,date,latitude,longitude,contact_month,contact_year,Income,Kidhome,Teenhome,Dt_Customer,NumWebVisitsMonth
40,technician,MARRIED,unknown,False,True,False,telephone,386,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2019-04-14,27.676,-74.451,4,2019,90838,1,0,2012-05-10,7
40,blue-collar,MARRIED,unknown,False,False,False,telephone,73,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-01-04,49.316,-91.441,1,2019,20361,2,0,2012-11-14,32
54,management,MARRIED,basic.4y,True,True,False,telephone,230,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-10-05,48.792,-87.676,10,2019,128876,0,2,2012-10-06,1
43,blue-collar,DIVORCED,basic.4y,False,False,False,telephone,208,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-12-18,47.015,-88.913,12,2019,121937,2,2,2012-10-29,21
34,services,MARRIED,high.school,False,False,False,telephone,365,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2019-10-17,46.714,-103.715,10,2019,83851,1,1,2012-10-18,12
52,technician,MARRIED,basic.9y,False,True,False,telephone,1666,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2015-12-11,29.214,-87.396,12,2015,71669,2,2,2012-04-16,26
41,admin.,MARRIED,university.degree,False,True,False,telephone,577,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-04-26,24.874,-107.27,4,2019,50412,0,0,2012-05-05,2
56,technician,MARRIED,basic.4y,False,True,False,telephone,137,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2017-04-23,36.539,-70.595,4,2017,35940,1,0,2012-11-15,15
32,entrepreneur,MARRIED,high.school,False,True,False,telephone,314,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2018-12-29,33.876,-117.423,12,2018,55182,2,0,2012-11-20,7
38,admin.,SINGLE,professional.course,False,False,False,telephone,160,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2015-03-12,45.8,-93.786,3,2015,170859,2,2,2012-04-11,28
37,admin.,MARRIED,university.degree,False,False,True,telephone,212,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-06-06,24.925,-92.686,6,2019,65477,0,0,2012-09-10,24
44,admin.,MARRIED,university.degree,True,True,False,telephone,188,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2015-01-05,37.511,-94.109,1,2015,122815,2,1,2012-05-14,28
42,technician,SINGLE,professional.course,True,False,False,telephone,22,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2017-01-08,42.145,-108.433,1,2017,52087,0,2,2012-03-09,13
57,admin.,MARRIED,university.degree,False,True,True,telephone,616,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2016-10-15,33.318,-77.7,10,2016,136434,1,1,2012-07-03,3
40,blue-collar,MARRIED,basic.9y,False,False,True,telephone,178,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2017-08-15,36.269,-117.853,8,2017,48855,2,1,2012-08-21,11
35,admin.,MARRIED,university.degree,False,True,False,telephone,355,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2015-12-19,27.521,-88.316,12,2015,14091,1,2,2012-03-23,15
45,blue-collar,MARRIED,basic.9y,False,True,False,telephone,225,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2018-05-15,47.71,-91.255,5,2018,49376,1,2,2012-11-21,18
54,admin.,MARRIED,high.school,False,False,False,telephone,160,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-05-23,25.729,-90.585,5,2019,141524,1,2,2012-01-10,32
39,housemaid,MARRIED,basic.4y,False,False,True,telephone,266,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2015-10-02,24.802,-71.158,10,2015,139751,0,2,2012-06-23,15
60,admin.,MARRIED,high.school,False,False,False,telephone,253,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2019-07-20,24.541,-83.412,7,2019,175358,2,1,2012-07-27,8
39,admin.,SINGLE,professional.course,False,False,False,telephone,179,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2016-10-22,44.802,-106.795,10,2016,43378,1,0,2012-01-13,14
55,blue-collar,MARRIED,basic.4y,True,False,False,telephone,269,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2016-07-24,33.009,-115.68,7,2016,171806,2,1,2012-04-01,26
39,technician,MARRIED,professional.course,True,True,False,telephone,135,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2017-02-04,34.004,-99.004,2,2017,82735,2,1,2012-09-15,5
50,management,MARRIED,university.degree,True,False,True,telephone,161,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2018-12-03,45.639,-90.524,12,2018,21488,1,2,2012-07-13,29
45,services,MARRIED,high.school,True,True,False,telephone,787,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2018-11-16,44.358,-88.987,11,2018,165897,1,2,2012-11-28,3
55,unemployed,MARRIED,professional.course,True,True,True,telephone,145,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2018-08-08,32.791,-93.839,8,2018,20845,2,2,2012-09-27,1
25,technician,SINGLE,university.degree,False,True,False,telephone,174,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2018-11-22,25.291,-113.185,11,2018,42782,0,1,2012-05-14,15
42,entrepreneur,MARRIED,university.degree,True,False,False,telephone,449,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2016-01-13,24.665,-117.482,1,2016,140136,2,2,2012-07-18,14
51,blue-collar,MARRIED,basic.9y,False,True,False,telephone,812,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2015-04-15,46.189,-86.233,4,2015,76853,2,0,2012-11-12,23
39,blue-collar,MARRIED,basic.6y,True,True,False,telephone,164,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2018-10-08,25.975,-93.643,10,2018,61337,0,1,2012-02-24,7
42,blue-collar,MARRIED,basic.6y,True,False,False,telephone,366,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2017-09-30,39.95,-85.247,9,2017,178376,1,1,2012-06-10,18
48,admin.,MARRIED,high.school,False,False,False,telephone,357,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2017-06-07,41.612,-124.248,6,2017,83568,0,2,2012-01-06,18
37,admin.,MARRIED,university.degree,False,False,False,telephone,232,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-10-26,33.968,-106.024,10,2019,114438,1,0,2012-06-06,32
38,blue-collar,SINGLE,basic.9y,False,True,False,telephone,91,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-10-07,45.432,-82.709,10,2019,128341,2,0,2012-10-29,13
40,admin.,MARRIED,unknown,False,True,False,telephone,273,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-03-29,39.012,-122.204,3,2019,26244,0,2,2012-05-18,16
56,admin.,MARRIED,basic.9y,False,True,False,telephone,158,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2017-02-08,33.548,-123.247,2,2017,130764,1,0,2012-03-30,8
43,blue-collar,SINGLE,basic.4y,True,True,True,telephone,177,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2017-09-17,45.195,-67.229,9,2017,141859,2,1,2012-02-06,4
41,management,MARRIED,basic.6y,False,False,False,telephone,200,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2018-10-24,39.804,-94.191,10,2018,55445,0,2,2012-10-05,21
44,management,DIVORCED,university.degree,False,True,False,telephone,172,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2016-01-05,28.527,-77.464,1,2016,77947,1,1,2012-04-29,11
47,admin.,MARRIED,university.degree,True,True,False,telephone,176,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2018-07-12,32.595,-83.523,7,2018,67439,0,1,2012-03-05,9
37,admin.,MARRIED,university.degree,True,True,False,telephone,214,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2015-01-22,32.349,-70.223,1,2015,93745,0,2,2012-07-16,27
41,blue-collar,DIVORCED,basic.4y,True,True,False,telephone,1575,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,True,2017-02-14,33.119,-78.718,2,2017,51945,1,1,2012-05-16,32
55,technician,MARRIED,university.degree,False,False,False,telephone,349,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2017-07-31,26.058,-102.059,7,2017,177873,0,0,2012-07-13,11
38,services,MARRIED,high.school,True,True,False,telephone,337,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2018-10-04,39.699,-95.333,10,2018,121966,1,1,2012-08-08,31
40,management,MARRIED,unknown,True,True,False,telephone,272,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2017-09-05,27.091,-117.264,9,2017,167586,0,1,2012-02-12,18
42,blue-collar,MARRIED,basic.9y,True,False,False,telephone,208,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2016-02-07,41.803,-100.479,2,2016,70480,1,2,2012-08-19,13
50,blue-collar,MARRIED,basic.4y,True,True,False,telephone,193,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2018-08-19,39.627,-98.496,8,2018,18714,2,2,2012-08-10,23
51,blue-collar,MARRIED,basic.4y,True,True,True,telephone,212,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2015-05-14,48.81,-79.382,5,2015,74584,0,1,2012-08-27,14
38,admin.,MARRIED,high.school,True,False,False,telephone,165,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-01-13,43.962,-121.032,1,2019,7462,2,2,2012-08-20,21
49,entrepreneur,MARRIED,university.degree,True,True,False,telephone,1042,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,True,2016-11-23,32.461,-91.026,11,2016,153359,0,2,2012-11-15,9
38,technician,SINGLE,university.degree,False,False,True,telephone,20,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2016-09-10,32.004,-111.513,9,2016,138685,2,0,2012-12-25,20
31,admin.,DIVORCED,high.school,False,False,False,telephone,246,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2017-06-18,33.276,-82.641,6,2017,116608,1,0,2012-07-20,13
45,management,MARRIED,basic.6y,False,False,False,telephone,529,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2017-08-28,36.293,-104.523,8,2017,14417,1,0,2012-07-30,1
39,admin.,MARRIED,university.degree,False,True,True,telephone,192,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2018-11-18,43.599,-75.453,11,2018,99031,0,0,2012-08-28,21
49,technician,MARRIED,basic.9y,False,False,False,telephone,1467,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,True,2015-05-17,44.354,-83.771,5,2015,93507,2,1,2012-10-19,15
34,admin.,MARRIED,high.school,False,True,False,telephone,188,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2016-10-26,38.383,-87.624,10,2016,68707,1,0,2012-02-09,16
35,admin.,MARRIED,university.degree,False,True,False,telephone,180,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2016-08-27,40.103,-79.228,8,2016,119162,1,0,2012-07-09,1
40,admin.,MARRIED,unknown,True,False,True,telephone,213,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-02-23,45.97,-95.297,2,2019,111496,2,0,2012-02-18,19
33,unemployed,MARRIED,basic.9y,False,False,False,telephone,545,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2018-12-03,39.664,-122.563,12,2018,95189,0,0,2012-07-18,22
42,blue-collar,MARRIED,basic.6y,False,False,True,telephone,583,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2017-09-20,27.672,-100.531,9,2017,45768,1,1,2012-06-17,21
45,services,MARRIED,professional.course,False,True,False,telephone,221,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2015-08-17,35.966,-75.199,8,2015,122783,0,0,2012-11-03,3
42,management,MARRIED,university.degree,False,False,False,telephone,426,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2018-11-28,39.727,-101.195,11,2018,98678,0,0,2012-12-02,31
53,admin.,DIVORCED,university.degree,True,False,False,telephone,287,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2016-12-08,45.633,-122.143,12,2016,21072,0,0,2012-07-09,21
37,technician,SINGLE,professional.course,False,False,False,telephone,197,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2016-05-19,44.314,-91.625,5,2016,60378,1,2,2012-09-14,18
44,blue-collar,MARRIED,basic.6y,False,False,False,telephone,257,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2018-07-29,38.534,-99.64,7,2018,145871,0,2,2012-08-13,8
40,services,MARRIED,unknown,False,True,False,telephone,229,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2018-12-01,31.532,-88.105,12,2018,109725,1,0,2012-08-03,13
49,blue-collar,MARRIED,basic.4y,False,False,False,telephone,55,3,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2017-12-21,31.619,-70.718,12,2017,96711,0,0,2012-03-07,29
40,services,MARRIED,unknown,False,False,False,telephone,400,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2015-12-22,33.409,-121.292,12,2015,12244,0,0,2012-01-26,28
52,admin.,DIVORCED,university.degree,False,False,False,telephone,197,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2018-04-18,47.84,-114.833,4,2018,36606,1,1,2012-06-27,27
52,admin.,DIVORCED,university.degree,False,False,False,telephone,190,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2015-08-26,42.761,-74.313,8,2015,154051,2,2,2012-11-09,18
43,services,SINGLE,high.school,True,False,False,telephone,21,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2017-06-25,39.558,-107.838,6,2017,29727,1,2,2012-09-28,2
34,housemaid,MARRIED,basic.6y,False,True,False,telephone,300,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2016-10-06,31.483,-100.16,10,2016,54061,2,2,2012-05-23,7
35,admin.,MARRIED,high.school,False,True,False,telephone,123,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-11-21,34.907,-74.84,11,2019,127139,0,0,2012-02-11,1
40,entrepreneur,MARRIED,unknown,True,True,False,telephone,293,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-10-22,48.387,-89.689,10,2019,85638,1,0,2012-12-22,15
40,technician,MARRIED,unknown,True,True,True,telephone,325,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-02-11,40.367,-91.34,2,2019,170502,0,0,2012-10-22,3
60,retired,DIVORCED,university.degree,True,False,False,telephone,514,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-03-14,28.433,-123.385,3,2019,50221,2,2,2012-09-26,5
58,unemployed,MARRIED,basic.4y,True,False,False,telephone,849,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2016-04-27,36.7,-109.909,4,2016,163061,0,1,2012-02-21,7
35,services,DIVORCED,high.school,False,True,False,telephone,194,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2017-06-01,41.565,-95.639,6,2017,155704,2,1,2012-04-15,28
55,blue-collar,MARRIED,basic.9y,True,True,False,telephone,212,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2017-05-17,41.496,-74.772,5,2017,20900,0,0,2012-01-25,8
42,management,MARRIED,university.degree,False,False,False,telephone,337,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2015-12-13,40.689,-97.527,12,2015,51445,0,0,2012-03-14,13
36,blue-collar,MARRIED,high.school,False,False,False,telephone,286,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2016-01-21,25.467,-92.284,1,2016,91718,0,1,2012-04-27,28
37,admin.,DIVORCED,university.degree,False,False,False,telephone,247,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-07-09,40.254,-66.962,7,2019,117747,2,1,2012-10-07,18
40,blue-collar,DIVORCED,unknown,True,True,False,telephone,518,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2019-01-23,24.875,-79.139,1,2019,36342,2,0,2012-09-30,11
40,admin.,MARRIED,unknown,False,True,False,telephone,364,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2018-06-24,33.681,-94.942,6,2018,162740,0,1,2012-07-17,22
50,admin.,MARRIED,basic.6y,False,False,False,telephone,61,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2017-05-28,26.595,-90.694,5,2017,134274,0,2,2012-11-28,1
31,technician,DIVORCED,professional.course,False,True,True,telephone,78,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-05-21,40.947,-119.446,5,2019,85870,1,0,2012-06-13,16
56,retired,MARRIED,basic.4y,False,True,False,telephone,102,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2016-09-01,33.324,-69.095,9,2016,50634,1,1,2012-03-19,26
41,technician,MARRIED,professional.course,True,True,False,telephone,579,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,True,2018-05-25,24.453,-117.217,5,2018,7888,2,2,2012-03-19,24
37,blue-collar,MARRIED,basic.6y,False,True,True,telephone,143,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-09-28,43.594,-72.718,9,2019,85274,2,1,2012-12-12,5
41,technician,MARRIED,professional.course,True,False,False,telephone,677,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2015-03-03,40.665,-98.17,3,2015,169322,0,1,2012-09-19,1
40,blue-collar,MARRIED,unknown,False,True,False,telephone,267,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-09-06,43.911,-85.773,9,2019,106503,1,0,2012-06-20,16
37,blue-collar,MARRIED,basic.6y,False,True,False,telephone,345,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2015-05-28,41.808,-95.182,5,2015,126858,1,2,2012-11-29,9
52,management,MARRIED,university.degree,False,False,False,telephone,185,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-07-11,29.305,-88.263,7,2019,130178,2,1,2012-10-22,13
39,management,DIVORCED,university.degree,False,False,False,telephone,207,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2018-04-07,34.321,-113.244,4,2018,80424,0,2,2012-09-03,21
39,housemaid,MARRIED,basic.4y,True,False,False,telephone,69,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-07-14,44.589,-96.804,7,2019,51265,0,0,2012-05-14,12
56,blue-collar,MARRIED,basic.4y,True,False,False,telephone,100,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2018-11-20,47.109,-93.148,11,2018,104559,1,0,2012-08-23,10
34,services,MARRIED,high.school,False,True,False,telephone,125,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2017-08-18,38.368,-118.433,8,2017,33226,2,0,2012-09-23,16
38,blue-collar,MARRIED,basic.9y,True,True,False,telephone,461,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,True,2016-10-20,43.163,-87.798,10,2016,10184,1,1,2012-02-13,32
37,unemployed,SINGLE,university.degree,False,True,False,telephone,240,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2016-02-10,33.228,-116.954,2,2016,156831,0,2,2012-06-08,10
40,management,MARRIED,unknown,False,True,False,telephone,70,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2018-03-26,38.435,-85.126,3,2018,31763,1,2,2012-12-26,24
39,management,MARRIED,university.degree,False,True,False,telephone,193,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2016-01-28,46.6,-101.065,1,2016,64183,0,1,2012-11-06,12
53,blue-collar,MARRIED,basic.4y,False,True,False,telephone,136,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2018-05-08,36.757,-73.312,5,2018,134200,1,1,2012-12-19,24
42,blue-collar,MARRIED,basic.4y,True,True,False,telephone,528,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2016-08-26,43.574,-108.843,8,2016,39463,2,2,2012-11-09,14
42,blue-collar,MARRIED,basic.4y,True,False,False,telephone,541,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2017-06-21,48.135,-96.271,6,2017,21484,2,0,2012-04-19,31
